Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"2-in-1 coffee powder, with creamer",BEVERAGES,Non-alcoholic beverages,Packet (12g),56.28,0.82,2.44,7.79,0.46,12,1.28
"2-in-1 coffee powder, with sugar",BEVERAGES,Non-alcoholic beverages,Sachet (15g),60.6,0.87,0.45,13.28,1.2,7.95,10.17
3 in 1 ready to drink coffee instant,BEVERAGES,Non-alcoholic beverages,Can (240g),81.6,2.4,1.92,14.16,0.24,43.2,14.16
"3-in-1 coffee powder, low sugar",BEVERAGES,Non-alcoholic beverages,Sachet (17g),74.63,0.78,2.04,13.29,0.6,22.44,5.24
Apple Juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),125,0,0,30,2,0,26
Apple juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),100,0,0,24.75,0,12.5,24.75
Apple juice drink,BEVERAGES,Non-alcoholic beverages,Cup (261g),104.27,0,0,26.36,0,10.44,26.36
"Apple juice drink, with no added sugar",BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),85,0,0,21.25,0.5,12.5,21.25
Apricot nectar juice drink,BEVERAGES,Non-alcoholic beverages,Cup (265g),136.93,0.8,0,34.19,,13.25,34.19
Black tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),2.5,0.25,0,0.25,0,2.5,
Brewed coffee,BEVERAGES,Non-alcoholic beverages,1 portion (155g),3.7,0.16,0,0.62,0,3.1,0.62
Caramel macchiato,BEVERAGES,Non-alcoholic beverages,Cup (500g),523.85,17.3,26.3,50,0.3,553.65,41.15
Celery juice,BEVERAGES,Non-alcoholic beverages,Cup (249g),29.76,1.49,0.25,2.99,0,89.64,2.99
"Cheese foam bubble tea, no topping, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (389g),182.83,3.11,15.56,7.78,0.78,108.92,7
Chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),587.8,14.75,32.9,61.5,0.8,412.65,54.75
Chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),606.05,14.8,35.2,60.8,0.8,415.75,54.15
Chocolate milk bubble tea,BEVERAGES,Non-alcoholic beverages,Cup (484g),319.44,1.94,4.84,66.79,1.45,38.72,34.36
Chrysanthemum tea,BEVERAGES,Non-alcoholic beverages,Bottle (500g),115,0,0,28.5,0,17.15,28.5
Chrysanthemum tea (reduced sugar),BEVERAGES,Non-alcoholic beverages,Packet (250g),65.13,0,0,16,0,0,16
Citrus carbonated water,BEVERAGES,Non-alcoholic beverages,Can (120g),43.63,0,0,11.16,0,6,11.16
Coca Cola Coke,BEVERAGES,Non-alcoholic beverages,Can (330g),132.63,0,0,34.65,0,3.3,34.65
Coca Cola Light,BEVERAGES,Non-alcoholic beverages,Can (330g),3.3,0.33,0,0.33,0,13.2,0
Coconut water,BEVERAGES,Non-alcoholic beverages,Whole (250g),54.97,0,0,14,0,35,14
Coffee and chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),416.85,11.75,23.45,41.95,0.45,349.7,38
Coffee and chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Mug (500g),478,11.95,28.85,41.25,0.45,359,37.5
"Coffee powder, instant",BEVERAGES,Non-alcoholic beverages,Teaspoon (3g),10.23,0.35,0,2.2,0,5.37,0.02
"Coffee, decaffeinated, instant, powder",BEVERAGES,Non-alcoholic beverages,Teaspoon (2g),4.47,0.23,0,0.85,0,2.8,0.5
Cream soda,BEVERAGES,Non-alcoholic beverages,Can (330g),169.57,0,0,43.89,0,16.5,43.89
"Drink mix, orange flavor, powder",BEVERAGES,Non-alcoholic beverages,Cup (207g),803.16,0,2.55,194.81,0,82.8,166.64
Espresso,BEVERAGES,Non-alcoholic beverages,1 portion (30g),0.6,0.04,0.05,0,0,0.6,0
Fruit punch,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),125,0.25,0.5,30.5,0.25,17.5,30.5
Ginger ale,BEVERAGES,Non-alcoholic beverages,Can (330g),111.21,0,0,28.71,0,9.9,28.71
Green tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),5,0.5,0,0.5,0,7.5,
Green tea drink,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),35,0,0,8.75,0,2.5,8.25
Green tea frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),244.55,8.3,8.8,34.7,0,274.8,13.3
Green tea frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),268.25,8.45,11.45,34.55,0,280.3,13.55
Guava nectar juice,BEVERAGES,Non-alcoholic beverages,Mug (214g),111.28,0.21,0.21,28.46,1.71,8.56,28.46
Horlick dinosaur,BEVERAGES,Non-alcoholic beverages,Mug (450g),449.42,13.86,8.78,78.62,0.09,425.97,58.91
Hot chocolate,BEVERAGES,Non-alcoholic beverages,Cup (500g),422.75,19.95,19.95,34.65,5.4,554.4,30.1
Hot chocolate with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),467,21,25.3,34.3,5.4,554.4,30
Ice limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),73.25,0.5,0.38,17.58,1.45,26.83,3.1
Ice teh o limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),76.88,0.53,0.4,17.85,1.5,28.6,16.45
Ice teh o longan,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),74.35,0.2,0.03,18.6,0.35,5.8,18.33
Ice teh o lychee,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),74.2,0.2,0.3,18.6,0.35,5.8,18.33
Iced lemon tea,BEVERAGES,Non-alcoholic beverages,Cup (259g),87.28,0.26,0,22.02,0,5.18,22.02
Kopi C,BEVERAGES,Non-alcoholic beverages,Cup (194g),87.3,2.52,2.33,14.16,0.78,69.84,14.16
Lemon flavoured soft drink,BEVERAGES,Non-alcoholic beverages,Can (330g),149.99,0,0,38.61,0,9.9,38.61
Lemon lime soda,BEVERAGES,Non-alcoholic beverages,Can (330g),132,0,0,34.32,0,6.6,34.32
Lemonade soft drink,BEVERAGES,Non-alcoholic beverages,Can (330g),132.63,0,0,34.32,0,3.3,34.32
Luo han guo drink,BEVERAGES,Non-alcoholic beverages,Bottle (500g),50,0,0,13,0,14.8,13
"Milk tea no toppings, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (460g),156.4,1.38,13.66,6.9,6.44,2.9,6.9
"Milk tea with pearls, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (478g),259.08,0.48,10.32,40.63,4.3,18.02,14.34
"Milk tea, bottled",BEVERAGES,Non-alcoholic beverages,Bottle (500g),185,4.5,3,35,6,115,34.25
"Milk tea, no toppings, 100% sugar",BEVERAGES,Non-alcoholic beverages,Cup (470g),296.1,0.47,14.57,40.89,6.11,2.54,40.89
Milo Godzilla,BEVERAGES,Non-alcoholic beverages,Mug (500g),474.57,12.33,19.31,62.96,2.43,418.44,53.71
Milo dinosaur,BEVERAGES,Non-alcoholic beverages,Mug (450g),356.9,11.3,9.72,56.12,3.02,383.18,46.44
"Milo powder, Australia",BEVERAGES,Non-alcoholic beverages,Cup (85g),326.4,10.71,8.93,50.83,3.4,357,39.95
"Milo, 3-in-1, powder",BEVERAGES,Non-alcoholic beverages,Sachet (30g),123.3,2.61,3.18,20.97,0.9,135,15.13
"Milo, ready-to-drink",BEVERAGES,Non-alcoholic beverages,Packet (250g),150,4.25,3.75,23.75,1.25,150,20
Orange and mango juice drink,BEVERAGES,Non-alcoholic beverages,Cup (263g),117.04,0.53,0,29.72,0.26,10.52,29.46
"Orange flavour drink, breakfast type, fortified, powder",BEVERAGES,Non-alcoholic beverages,Teaspoon (24g),92.64,0.02,0.02,23.69,0,46.56,23.69
Orange flavoured soft drink,BEVERAGES,Non-alcoholic beverages,Can (330g),165.79,0,0,42.9,0,3.3,42.9
Orange juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),97.5,1.75,0,22.75,0.25,17.5,22.75
"Orange juice, fortified with calcium",BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),97.5,1.5,0,23,1,322.5,23
Ovaltine powder,BEVERAGES,Non-alcoholic beverages,Tablespoon (8g),25.37,0.92,0.23,5.07,0,18.4,4.33
Roasted barley tea,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),10,,0.75,,,5,
Root beer,BEVERAGES,Non-alcoholic beverages,Can (330g),135.66,0,0,34.98,0,16.5,
Root beer float,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (300g),196.71,1.71,5.25,36.54,0.12,69.87,7.89
Soya bean drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),157.75,3.25,5.5,24,0,17.5,24
Sugar cane juice,BEVERAGES,Non-alcoholic beverages,Cup (425g),114.75,0,0.21,28.05,0,11.73,28.05
Sweetened packet drink,BEVERAGES,Non-alcoholic beverages,Cup (258g),180.6,,,44.89,0,,44.89
Syrup limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),109.7,0.45,0.35,26.13,1.33,22.13,2.85
"Tea instant, sweetened, lemon flavour, powder",BEVERAGES,Non-alcoholic beverages,Scoop (46g),177.12,0.28,0.14,44.9,0,1.38,44.9
Tea with sugar,BEVERAGES,Non-alcoholic beverages,Cup (255g),63.75,0,0,16.07,0,5.1,15.81
"Tea, chinese, fermented, infusion",BEVERAGES,Non-alcoholic beverages,Cup (250g),1.2,0,0,0,0,5,
"Tea, herbal, other than chamomile, brewed",BEVERAGES,Non-alcoholic beverages,Cup (237g),2.37,0,0,0.47,0,4.74,0
"Tea, powder, unsweetened, instant",BEVERAGES,Non-alcoholic beverages,Teaspoon (.7g),2.21,0.14,0,0.35,0.06,0.83,0.04
Teh,BEVERAGES,Non-alcoholic beverages,Cup (260g),153.4,2.34,2.86,23.92,3.12,59.8,23.4
