NDB No,Description,Food Group
R101061,"BISCUIT, COCONUT",Cereals and grain products
R101069,"BISCUIT, LEMON PUFF",Cereals and grain products
R101070,"BISCUIT, MARIE",Cereals and grain products
R101071,"BISCUIT, MILK (BISKUT SUSU)",Cereals and grain products
R101081,CROISSANT,Cereals and grain products
R101086,"BREAD, RAISIN (ROTI KISMIS)",Cereals and grain products
R101094,"BUN, CHEESE (BAN KEJU)",Cereals and grain products
R101096,"BUN, COCONUT (BAN KELAPA)",Cereals and grain products
R101099,"BUN, KAYA (BAN KAYA)",Cereals and grain products
R101100,"BUN, POTATO (BAN KENTANG)",Cereals and grain products
R101102,"BUN, RED BEANS (BAN KACANG MERAH)",Cereals and grain products
R101109,"COOKIES, PEANUT",Cereals and grain products
R101112,"MUFFIN, CHOCOLATE",Cereals and grain products
R101113,"MUFFIN, VANILLA",Cereals and grain products
R101115,"CEREAL, BREAKFAST, BRAN FLAKES",Cereals and grain products
R101116,"CEREAL, BREAKFAST, CHOCOLATE FLAVOURED",Cereals and grain products
R101117,"CEREAL, BREAKFAST, GRANOLA",Cereals and grain products
R101118,"CEREAL, BREAKFAST, MULTICOLOURED, SUGAR-FILLED RING SHAPED",Cereals and grain products
R101119,"CEREAL, BREAKFAST, OAT/MULTIGRAIN",Cereals and grain products
R101121,"COOKIES/CRACKERS, SANDWICH WITH FLAVOURED CREAM OREO",Cereals and grain products
R102002,BREADFRUITS CHIPS (KEREPEK SUKUN),"Starchy roots, tubers and products"
R102004,"FLOUR, SAGO (TEPUNG SAGU)","Starchy roots, tubers and products"
R102007,"POTATO CHIPS, SPICY (KEROPOK UBI KENTANG BERPERISA REMPAH PEDAS)","Starchy roots, tubers and products"
R102012,"SWEET POTATO, RED, CHIPS (KEREPEK UBI KELEDEK)","Starchy roots, tubers and products"
R102015,"TAPIOCA CHIPS, BARBEQUE (KEREPEK UBI KAYU PERISA BARBEQUE)","Starchy roots, tubers and products"
R102016,"TAPIOCA CHIPS, BLACK PEPPER (KEREPEK UBI KAYU PERISA LADA HITAM)","Starchy roots, tubers and products"
R102017,"TAPIOCA CHIPS, PLAIN, SALTED (KEREPEK UBI KAYU, BERGARAM)","Starchy roots, tubers and products"
R102018,"TAPIOCA CHIPS, PLAIN, UNSALTED (KEREPEK UBI KAYU, TANPA GARAM)","Starchy roots, tubers and products"
R102019,"TAPIOCA CHIPS, SPICY (KEREPEK UBI KAYU PEDAS)","Starchy roots, tubers and products"
