Food Name,Food Group,Food Sub Group,Per Serving ,Energy (kcal),Protein (g),Total Fat (g),Carbo (g)
"2-in-1 coffee powder, with creamer",BEVERAGES,Non-alcoholic beverages,Packet (12g),56.28,0.82,2.44,7.79
"2-in-1 coffee powder, with sugar",BEVERAGES,Non-alcoholic beverages,Sachet (15g),60.6,0.87,0.45,13.28
3 in 1 ready to drink coffee instant,BEVERAGES,Non-alcoholic beverages,Can (240g),81.6,2.4,1.92,14.16
"3-in-1 coffee powder, low sugar",BEVERAGES,Non-alcoholic beverages,Sachet (17g),74.63,0.78,2.04,13.29
Apricot nectar juice drink,BEVERAGES,Non-alcoholic beverages,Cup (265g),136.93,0.8,0,34.19
Black tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),2.5,0.25,0,0.25
Brewed coffee,BEVERAGES,Non-alcoholic beverages,1 portion (155g),3.7,0.16,0,0.62
Caramel macchiato,BEVERAGES,Non-alcoholic beverages,Cup (500g),523.85,17.3,26.3,50
Celery juice,BEVERAGES,Non-alcoholic beverages,Cup (249g),29.76,1.49,0.25,2.99
"Cheese foam bubble tea, no topping, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (389g),182.83,3.11,15.56,7.78
Chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),587.8,14.75,32.9,61.5
Chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),606.05,14.8,35.2,60.8
Chocolate milk bubble tea,BEVERAGES,Non-alcoholic beverages,Cup (484g),319.44,1.94,4.84,66.79
Coffee and chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),416.85,11.75,23.45,41.95
Coffee and chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Mug (500g),478,11.95,28.85,41.25
"Coffee powder, instant",BEVERAGES,Non-alcoholic beverages,Teaspoon (3g),10.23,0.35,0,2.2
"Coffee, decaffeinated, instant, powder",BEVERAGES,Non-alcoholic beverages,Teaspoon (2g),4.47,0.23,0,0.85
Cream soda,BEVERAGES,Non-alcoholic beverages,Can (330g),169.57,,0,43.89
"Drink mix, orange flavor, powder",BEVERAGES,Non-alcoholic beverages,Cup (207g),803.16,,2.55,194.81
Espresso,BEVERAGES,Non-alcoholic beverages,1 portion (30g),0.6,0.04,0.05,0
Fruit punch,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),125,0.25,0.5,30.5
Ginger ale,BEVERAGES,Non-alcoholic beverages,Can (330g),111.21,0,0,28.71
Green tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),5,0.5,0,0.5
Green tea frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),244.55,8.3,8.8,34.7
Green tea frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),268.25,8.45,11.45,34.55
Guava nectar juice,BEVERAGES,Non-alcoholic beverages,Mug (214g),111.28,0.21,0.21,28.46
Horlick dinosaur,BEVERAGES,Non-alcoholic beverages,Mug (450g),449.42,13.86,8.78,78.61
Hot chocolate,BEVERAGES,Non-alcoholic beverages,Cup (500g),422.75,19.95,19.95,34.65
Hot chocolate with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),467,21,25.3,34.3
Ice limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),73.25,0.5,0.38,17.58
Ice teh o limau,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),76.88,0.53,0.4,17.85
Ice teh o longan,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),74.35,0.2,0.03,18.6
Ice teh o lychee,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),74.2,0.2,0.3,18.6
Iced lemon tea,BEVERAGES,Non-alcoholic beverages,Cup (259g),87.28,0.26,0,22.02
Kopi C,BEVERAGES,Non-alcoholic beverages,Cup (194g),87.3,2.52,2.33,14.16
"Milk tea no toppings, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (460g),156.4,1.38,13.66,6.9
"Milk tea with pearls, 0% sugar",BEVERAGES,Non-alcoholic beverages,Cup (478g),259.08,0.48,10.32,40.63
"Milk tea, bottled",BEVERAGES,Non-alcoholic beverages,Bottle (500g),185,4.5,3,35
"Milk tea, no toppings, 100% sugar",BEVERAGES,Non-alcoholic beverages,Cup (470g),296.1,0.47,14.57,40.89
Milo Godzilla,BEVERAGES,Non-alcoholic beverages,Mug (500g),474.57,12.33,19.31,62.96
Milo dinosaur,BEVERAGES,Non-alcoholic beverages,Mug (450g),356.9,11.29,9.72,56.12
"Milo powder, Australia",BEVERAGES,Non-alcoholic beverages,Cup (85g),326.4,10.71,8.92,50.83
"Milo, 3-in-1, powder",BEVERAGES,Non-alcoholic beverages,Sachet (30g),123.3,2.61,3.18,20.97
"Milo, ready-to-drink",BEVERAGES,Non-alcoholic beverages,Packet (250g),150,4.25,3.75,23.75
Orange and mango juice drink,BEVERAGES,Non-alcoholic beverages,Cup (263g),117.04,0.53,0,29.72
"Orange flavour drink, breakfast type, fortified, powder",BEVERAGES,Non-alcoholic beverages,Teaspoon (24g),92.64,0.02,0.02,23.69
Orange juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),97.5,1.75,0,22.75
"Orange juice, fortified with calcium",BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),97.5,1.5,0,23
Root beer float,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (300g),196.71,1.71,5.25,36.54
Soya bean drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),157.75,3.25,5.5,24
Sugar cane juice,BEVERAGES,Non-alcoholic beverages,Cup (425g),114.75,0,0.21,28.05
"Tea, powder, unsweetened, instant",BEVERAGES,Non-alcoholic beverages,Teaspoon (.7g),2.21,0.14,0,0.35
Teh,BEVERAGES,Non-alcoholic beverages,Cup (260g),153.4,2.34,2.86,23.92
Thai green milk tea,BEVERAGES,Non-alcoholic beverages,Cup (517g),237.82,2.59,7.81,39.29
Thai milk tea,BEVERAGES,Non-alcoholic beverages,Cup (527g),300.39,2.64,10.38,49.54
Wheatgrass drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),85,0.25,0,21
Beef banh mi,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (224g),425.6,29.34,14.4,44.8
"Biscuit, alphabet",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Cup (70g),301.65,4.55,6.51,56.28
"Biscuit, chocolate",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (21g),96.37,1.6,2.9,15.98
"Biscuit, chocolate chip",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (11g),54.45,0.69,2.64,7.07
"Biscuit, cream cracker (old)",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (9g),38.61,0.8,1.16,6.53
"Biscuit, flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (2.5g),12.43,0.24,0.6,1.48
"Biscuit, lemon puff",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (12g),54.72,0.5,2.06,8.52
"Biscuit, marie",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7g),30.87,0.5,0.78,5.46
"Biscuit, ovaltine",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (7.6g),36.57,0.6,1.4,5.4
"Biscuit, peanuts and coconut",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (21g),94.5,1.97,3.3,14.24
"Biscuit, savoury, cheese-flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (2.2g),10.74,0.28,0.49,1.27
"Biscuit, soda (old)",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (8g),32.64,0.7,0.73,5.86
"Biscuit, wafer",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Cube/Square (4g),20.28,0.24,1.13,2.3
"Biscuits, high calcium",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Packet (27g),136.08,1.84,6.45,17.66
"Bread roll, wholemeal",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (90g),229.95,9,2.61,39.6
"Bread, brown, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),66.08,2.67,0.69,11.48
"Bread, butterscotch-flavoured",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),125.4,3.61,3.65,19.57
"Bread, chocolate chip",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),118.94,3,2.55,20.9
"Bread, french",CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (136g),393.04,16.05,2.45,76.7
"Bread, ryemeal",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cube/Square (30g),77.37,3.15,0.45,15.12
"Bread, white",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (336g),860.08,32.59,3.36,174.72
"Bread, white, aerated, high protein",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (21g),53.55,2.92,0.61,8.95
"Bread, wholemeal, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (25g),70.7,2.63,0.9,12
"Bread, with banana and walnut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),124.8,4.72,2.48,21.96
"Breakfast cereal, mixed, contains whole grains",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Bowl-rice (11and 1/2 cm) (30g),96.6,2.61,1.67,19.38
"Bulgar, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (182g),151.06,5.61,0.44,25.63
"Bulgur, dried",CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (180g),580.91,17.82,3.06,108.18
"Bun, chicken curry",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (78.5g),214.31,6.36,6.75,31.79
"Bun, custard",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (63g),178.29,5.86,5.42,24.7
"Bun, fruit, glazed",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (80g),207.66,5.52,3.2,37.92
"Bun, melon",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (61g),186.05,5.06,5.8,26.41
Butter cookies,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (6g),30.42,0.35,1.49,3.9
