No,Id,Nama Bahan,Air,Kalori,Protein,Lemak,Karbo,BDD,Kategori
1,AR001,"Beras giling,
mentah",12,357,8.4,1.7,77.1,100,Serelia
2,AR002,"Beras giling var
pelita, mentah",11.4,369,9.5,1.4,77.1,100,Serelia
3,AR003,"Beras giling var
rojolele, mentah",12,357,8.4,1.7,77.1,100,Serelia
4,AR004,"Beras hitam,
mentah",12.9,351,8,1.3,76.9,100,Serelia
5,AR005,"Beras jagung
kuning, kering, mentah",10.8,358,5.5,0.1,82.7,100,Serelia
6,AR006,"Beras jagung
putih, kering, mentah",22.5,307,4.8,0.1,71.8,100,Serelia
7,AR007,"Beras ketan hitam
tumbuk, mentah",13.7,360,8,2.3,74.5,100,Serelia
8,AR008,"Beras ketan putih
tumbuk, mentah",12.9,361,7.4,0.8,78.4,100,Serelia
9,AR009,"Beras ladang,
mentah",9.8,376,7.5,3.8,78,100,Serelia
10,AR010,"Beras menir,
mentah",12,362,7.7,4.4,73,100,Serelia
11,AR011,Beras parboiled,10,353,6.8,0.6,80,100,Serelia
12,AR012,"Beras tumbuk,
mentah",11.5,354,7.8,0.4,79.9,100,Serelia
13,AR013,"Beras tumbuk
merah, mentah",14.6,352,7.3,0.9,76.2,100,Serelia
14,AR014,"Cantel, mentah",11,366,11,3.3,73,100,Serelia
15,AR015,"Jagung muda,
kuning, mentah",61.8,147,5.1,0.7,31.5,100,Serelia
16,AR016,"Jagung kuning pipil, kering,
mentah",11.5,366,9.8,7.3,69.1,100,Serelia
17,AR017,"Jagung pipil var.
harapan, kering",11.3,367,6.2,5.1,76.2,100,Serelia
18,AR018,"Jagung pipil var.
metro, kering",10.6,368,5.5,4.6,78,100,Serelia
19,AR019,"Jali, mentah",23,324,11,4,61,100,Serelia
20,AR020,"Jawawut, mentah",11.9,364,9.7,3.5,73.4,100,Serelia
21,AR021,"Jampang huma,
mentah",11.7,350,6.2,1.4,78.2,100,Olahan Serelia
22,AP001,Nasi,56.7,180,3,0.3,39.8,100,Olahan Serelia
23,AP002,Nasi tim,71,120,2.4,0.4,26,100,Olahan Serelia
24,AP003,Tapai beras,75.5,99,1.7,0.3,22.4,100,Olahan Serelia
25,AP004,"Tepung beras,
mentah",12,353,7,0.5,80,100,Olahan Serelia
26,AP005,Nasi beras merah,64,149,2.8,0.4,32.5,100,Olahan Serelia
27,AP006,"Bihun, mentah",12.9,348,4.7,0.1,82.1,100,Olahan Serelia
28,AP007,"Bihun goreng
instan",9,381,6.1,3.9,80.3,100,Olahan Serelia
29,AP008,"Bihun Jagung,
mentah",11.3,354,0.5,0.3,87.4,100,Olahan Serelia
30,AP009,Nasi jagung,11,357,8.8,0.5,79.5,100,Olahan Serelia
31,AP010,"Jagung kuning
muda, rebus",53.2,142,5,0.7,30.3,100,Olahan Serelia
32,AP011,"Jagung kuning,
tepung",12,355,9.2,3.9,73.7,100,Olahan Serelia
33,AP012,"Jagung kuning
pipil, rebus",63.7,154,3.8,3.5,28.4,100,Olahan Serelia
34,AP013,"Tepung jagung
putih",12,355,9.2,3.9,73.7,100,Olahan Serelia
35,AP014,Ketupat ketan,52,212,4,4.6,38.6,100,Olahan Serelia
36,AP015,"Ketan hitam,
matang",56.9,181,4,1.2,37.3,100,Olahan Serelia
37,AP016,Tapai ketan hitam,50.2,166,3.8,1,34.4,100,Olahan Serelia
38,AP017,"Ketan putih,
matang",60.7,163,3,0.4,35.7,100,Olahan Serelia
39,AP018,Tapai ketan putih,58.9,172,3,0.5,37.5,100,Olahan Serelia
40,AP019,"Maizena, tepung",14,341,0.3,0,85,100,Olahan Serelia
41,AP020,"Makaroni, mentah",11.7,353,8.7,0.4,78.7,100,Olahan Serelia
42,AP021,Mi basah,80,88,0.6,3.3,14,100,Olahan Serelia
43,AP022,Mi kering,10.6,339,10,1.7,6.3,100,Olahan Serelia
44,AP023,Misoa,10,345,8.5,2.2,78,100,Olahan Serelia
45,AP024,Roti putih,40,248,8,1.2,50,100,Olahan Serelia
46,AP025,Tepung terigu,11.8,333,9,1,77.2,100,Olahan Serelia
47,AP026,Amparan tatak,58.4,191,1.3,5.5,34,100,Olahan Serelia
48,AP027,"Apang kukus, kue",49.5,202,3,0.3,46.7,100,Olahan Serelia
49,AP028,"Apem, kue",63.1,148,2,0.5,33.9,100,Olahan Serelia
50,AP029,Biskuit,2.2,458,6.9,14.4,75.1,100,Olahan Serelia
51,AP030,"Bakpia, kue",38.9,272,8.7,6.7,44.1,100,Olahan Serelia
52,AP031,Bakwan,40.5,280,8.2,10.2,39,100,Olahan Serelia
53,AP032,Bantal,52.3,190,3.3,0.3,43.5,100,Olahan Serelia
54,AP033,Baruasa,5.3,417,6.5,8.2,79.3,100,Olahan Serelia
55,AP034,Batar daan,75.3,107,2.2,2.2,19.6,100,Olahan Serelia
56,AP035,Bika ambon,51.5,199,2.1,1.5,44.4,100,Olahan Serelia
57,AP036,Bingka,44.4,273,5.3,10.6,39.1,100,Olahan Serelia
58,AP037,Bobengka,46.3,225,5.3,2.6,45.2,100,Olahan Serelia
59,AP038,Bolu peca,55.6,197,3.3,4.6,35.6,100,Olahan Serelia
60,AP039,Brem,37.4,249,3.4,0.4,58,100,Olahan Serelia
61,AP040,"Bubur tinotuan
(Manado)",80.9,156,2.3,0.2,15.6,100,Olahan Serelia
62,AP041,Cake tape,32.2,323,4.9,11.5,50.1,100,Olahan Serelia
63,AP042,Cangkuning,57.5,204,2.8,7.5,31.4,100,Olahan Serelia
64,AP043,Dodol bali,26.5,298,3.7,2.1,65.9,100,Olahan Serelia
65,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,100,Olahan Serelia
